AZS AGH Kraków,34,76.8,17.7,35.0,50.6,9.2,29.9,30.7,26.9,64.9,41.4,13.8,20.7,66.6,11.62,24.44,36.06,18.5,22.21,21.00,13.4,7.85,2.65,2.47,83.6,-15.4,Sezon 2022/2023,AZS AGH Kraków
Przeciwnicy,34,79.9,22.6,41.4,54.6,6.1,20.4,29.8,28.7,61.7,46.4,16.5,24.3,68.0,12.03,28.50,40.53,18.8,21.12,21.62,15.3,7.12,2.47,2.65,92.6,15.4,Sezon 2022/2023,AZS AGH Kraków
BS Polonia Bytom,34,79.9,20.9,42.2,49.7,8.2,24.6,33.5,29.2,66.7,43.7,13.4,20.9,64.0,11.15,26.53,37.68,15.3,19.62,19.97,13.4,7.00,2.15,2.65,83.7,-31.6,Sezon 2022/2023,BS Polonia Bytom
Przeciwnicy,34,86.3,22.8,41.5,55.0,9.2,26.5,34.7,32.0,68.0,47.1,13.0,19.1,68.0,11.74,29.41,41.15,18.7,20.26,18.91,13.9,6.47,2.65,2.15,99.3,31.6,Sezon 2022/2023,BS Polonia Bytom
Decka Pelplin,37,78.8,21.4,41.8,51.2,7.2,23.0,31.4,28.6,64.8,44.2,14.4,21.5,66.9,11.46,28.70,40.16,17.4,23.16,20.54,14.1,7.54,3.32,2.92,89.9,9.2,Sezon 2022/2023,Decka Pelplin
Przeciwnicy,37,77.0,17.0,36.3,46.9,8.8,26.9,32.7,25.8,63.2,40.9,16.6,24.9,66.6,11.57,27.49,39.05,17.2,20.97,22.70,14.5,7.95,2.92,3.32,84.0,-9.2,Sezon 2022/2023,Decka Pelplin
Dziki Warszawa,44,78.6,20.3,38.6,52.6,7.6,23.7,32.1,27.9,62.3,44.8,15.1,23.6,63.9,11.61,26.98,38.59,20.0,19.95,22.45,13.8,9.48,2.73,2.91,92.6,39.2,Sezon 2022/2023,Dziki Warszawa
Przeciwnicy,44,70.7,17.0,35.6,47.6,7.7,24.3,31.6,24.6,59.9,41.1,13.8,20.1,68.4,10.30,26.25,36.55,15.7,22.98,19.66,16.8,7.80,2.91,2.73,75.2,-39.2,Sezon 2022/2023,Dziki Warszawa
Enea Basket Poznań,34,80.4,20.9,38.7,53.9,7.9,26.1,30.4,28.8,64.7,44.4,15.0,21.8,68.8,11.53,26.00,37.53,17.9,22.06,21.24,14.6,8.88,1.68,2.62,89.1,11.8,Sezon 2022/2023,Enea Basket Poznań
Przeciwnicy,34,78.1,18.9,36.1,52.4,8.6,26.0,33.2,27.5,62.1,44.3,14.4,21.5,67.0,11.47,26.68,38.15,19.2,21.59,21.71,17.2,7.74,2.62,1.68,87.0,-11.8,Sezon 2022/2023,Enea Basket Poznań
GKS Tychy,38,79.7,19.8,39.6,49.9,7.4,22.7,32.6,27.2,62.3,43.6,18.0,24.2,74.5,11.53,27.89,39.42,17.5,22.37,22.58,14.9,7.53,1.79,2.29,89.7,20.4,Sezon 2022/2023,GKS Tychy
Przeciwnicy,38,75.7,17.5,32.9,53.1,8.2,28.2,29.2,25.7,61.1,42.1,16.0,22.1,72.3,9.26,25.84,35.11,16.1,23.05,22.08,15.3,7.39,2.29,1.79,79.7,-20.4,Sezon 2022/2023,GKS Tychy
Górnik Trans.eu Zamek Książ Wałbrzych,43,82.1,22.2,40.8,54.4,8.0,25.4,31.3,30.1,66.2,45.5,13.9,21.5,64.9,12.56,28.65,41.21,21.5,20.47,19.63,12.9,8.91,3.74,1.70,100.9,43.1,Sezon 2022/2023,Górnik Trans.eu Zamek Książ Wałbrzych
Przeciwnicy,43,73.5,15.9,34.1,46.6,9.2,27.5,33.5,25.1,61.6,40.8,14.0,19.8,70.7,9.88,26.58,36.47,16.6,19.95,20.09,15.5,6.05,1.70,3.74,76.5,-43.1,Sezon 2022/2023,Górnik Trans.eu Zamek Książ Wałbrzych
HydroTruck Sport Radom,44,84.5,19.5,35.7,54.7,10.4,29.8,34.8,29.9,65.4,45.7,14.3,19.4,74.0,10.55,29.05,39.59,20.2,20.30,19.02,13.3,8.09,2.09,2.61,100.5,32.6,Sezon 2022/2023,HydroTruck Radom
Przeciwnicy,44,78.0,17.8,34.8,50.9,9.7,30.2,32.2,27.5,65.0,42.2,13.3,19.7,67.9,10.91,26.91,37.82,18.7,19.45,20.00,14.1,7.30,2.61,2.09,86.4,-32.6,Sezon 2022/2023,HydroTruck Radom
KKS Polonia Warszawa,37,78.2,19.4,36.8,52.8,8.7,26.5,32.7,28.1,63.2,44.4,13.5,19.7,68.6,10.62,28.05,38.68,18.6,21.41,19.41,15.2,7.38,3.70,2.43,90.1,4.7,Sezon 2022/2023,KKS Polonia Warszawa
Przeciwnicy,37,77.3,20.3,40.9,49.6,7.2,22.1,32.5,27.5,63.0,43.6,15.2,22.6,67.3,10.05,26.08,36.14,17.8,19.92,21.08,13.1,8.05,2.43,3.70,85.7,-4.7,Sezon 2022/2023,KKS Polonia Warszawa
Miasto Szkła Krosno,34,78.1,20.3,36.9,54.9,8.2,25.5,32.2,28.5,62.4,45.6,12.9,19.5,66.5,11.59,26.71,38.29,18.7,21.24,19.15,15.3,7.56,2.06,2.65,89.0,6.2,Sezon 2022/2023,Miasto Szkła Krosno
Przeciwnicy,34,76.9,18.8,36.6,51.4,8.5,25.9,33.0,27.3,62.4,43.8,13.7,20.1,68.0,10.50,24.71,35.21,18.4,19.53,20.91,13.8,7.85,2.65,2.06,85.6,-6.2,Sezon 2022/2023,Miasto Szkła Krosno
MKKS Żak Koszalin,34,86.2,20.3,39.1,52.0,9.2,26.5,34.7,29.5,65.6,45.0,17.9,24.0,74.4,11.50,25.74,37.24,18.7,22.32,21.68,14.9,9.12,2.65,2.38,96.8,11.9,Sezon 2022/2023,MKKS Żak Koszalin
Przeciwnicy,34,83.8,21.3,39.2,54.2,8.0,24.4,32.6,29.2,63.7,45.9,17.3,24.0,72.3,10.94,26.82,37.76,18.9,21.97,21.53,15.7,7.59,2.38,2.65,93.6,-11.9,Sezon 2022/2023,MKKS Żak Koszalin
