TEAM,GAMES,POINTS,2PM,2PA,2P%,3PM,3PA,3P%,SM,SA,S%,FTM,FTA,FTP,OREB,DREB,TREB,AST,PF,FF,TOV,STL,BLK,RBLK,EVAL,PLUS_MINUS,YEAR
AZS AGH Kraków,34.0,79.9,22.6,41.4,54.6,6.1,20.4,29.8,28.7,61.7,46.4,16.5,24.3,68.0,12.03,28.5,40.53,18.8,21.12,21.62,15.3,7.12,2.47,2.65,92.6,15.4,2022/2023
BS Polonia Bytom,34.0,86.3,22.8,41.5,55.0,9.2,26.5,34.7,32.0,68.0,47.1,13.0,19.1,68.0,11.74,29.41,41.15,18.7,20.26,18.91,13.9,6.47,2.65,2.15,99.3,31.6,2022/2023
Decka Pelplin,37.0,77.0,17.0,36.3,46.9,8.8,26.9,32.7,25.8,63.2,40.9,16.6,24.9,66.6,11.57,27.49,39.05,17.2,20.97,22.7,14.5,7.95,2.92,3.32,84.0,-9.2,2022/2023
Dziki Warszawa,44.0,70.7,17.0,35.6,47.6,7.7,24.3,31.6,24.6,59.9,41.1,13.8,20.1,68.4,10.3,26.25,36.55,15.7,22.98,19.66,16.8,7.8,2.91,2.73,75.2,-39.2,2022/2023
Enea Basket Poznań,34.0,78.1,18.9,36.1,52.4,8.6,26.0,33.2,27.5,62.1,44.3,14.4,21.5,67.0,11.47,26.68,38.15,19.2,21.59,21.71,17.2,7.74,2.62,1.68,87.0,-11.8,2022/2023
GKS Tychy,38.0,75.7,17.5,32.9,53.1,8.2,28.2,29.2,25.7,61.1,42.1,16.0,22.1,72.3,9.26,25.84,35.11,16.1,23.05,22.08,15.3,7.39,2.29,1.79,79.7,-20.4,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,43.0,73.5,15.9,34.1,46.6,9.2,27.5,33.5,25.1,61.6,40.8,14.0,19.8,70.7,9.88,26.58,36.47,16.6,19.95,20.09,15.5,6.05,1.7,3.74,76.5,-43.1,2022/2023
HydroTruck Radom,44.0,78.0,17.8,34.8,50.9,9.7,30.2,32.2,27.5,65.0,42.2,13.3,19.7,67.9,10.91,26.91,37.82,18.7,19.45,20.0,14.1,7.3,2.61,2.09,86.4,-32.6,2022/2023
KKS Polonia Warszawa,37.0,77.3,20.3,40.9,49.6,7.2,22.1,32.5,27.5,63.0,43.6,15.2,22.6,67.3,10.05,26.08,36.14,17.8,19.92,21.08,13.1,8.05,2.43,3.7,85.7,-4.7,2022/2023
Miasto Szkła Krosno,34.0,76.9,18.8,36.6,51.4,8.5,25.9,33.0,27.3,62.4,43.8,13.7,20.1,68.0,10.5,24.71,35.21,18.4,19.53,20.91,13.8,7.85,2.65,2.06,85.6,-6.2,2022/2023
MKKS Żak Koszalin,34.0,83.8,21.3,39.2,54.2,8.0,24.4,32.6,29.2,63.7,45.9,17.3,24.0,72.3,10.94,26.82,37.76,18.9,21.97,21.53,15.7,7.59,2.38,2.65,93.6,-11.9,2022/2023
PGE Turów Zgorzelec,34.0,85.0,22.5,40.6,55.5,8.1,23.0,35.0,30.6,63.6,48.1,15.8,21.2,74.6,11.29,28.15,39.44,20.3,19.94,20.56,15.1,7.03,2.12,2.0,100.4,33.2,2022/2023
Sensation Kotwica Kołobrzeg,38.0,74.6,16.3,34.0,47.9,8.6,27.0,31.9,24.9,61.0,40.8,16.2,23.3,69.6,9.84,29.84,39.68,16.3,16.82,19.45,14.5,6.55,2.45,2.92,82.0,-22.5,2022/2023
SKS Starogard Gdański,43.0,80.1,20.9,42.8,48.7,8.0,26.1,30.6,28.8,68.9,41.9,14.4,21.1,68.5,11.53,27.16,38.7,17.4,23.4,19.49,11.1,7.95,3.19,2.74,89.5,-12.8,2022/2023
Start II Lublin,34.0,105.2,30.6,46.0,66.6,11.0,30.1,36.7,41.7,76.1,54.7,10.8,15.4,70.4,12.91,29.53,42.44,30.9,17.71,15.62,12.4,13.97,3.56,2.41,144.6,182.4,2022/2023
Weegree AZS Politechnika Opolska,34.0,80.7,18.3,34.4,53.2,8.8,25.2,34.9,27.0,59.5,45.4,17.8,25.1,71.1,9.12,26.12,35.24,16.8,20.79,22.82,15.6,7.88,2.0,2.41,87.3,-3.1,2022/2023
